objectid,objecttype,attributeid,attributetype
chndm_1913-34-11,object,1750s,date
chndm_1913-45-9-a_b,object,1840s,date
chndm_1913-45-9-a_b,object,1850s,date
chndm_1914-21-121,object,1800s,date
chndm_1914-21-121,object,1810s,date
chndm_1914-21-14,object,1640s,date
chndm_1914-38-140,object,1890s,date
chndm_1914-38-140,object,1900s,date
chndm_1914-38-154,object,1890s,date
chndm_1914-38-154,object,1900s,date
chndm_1914-38-186,object,1890s,date
chndm_1914-38-186,object,1900s,date
chndm_1914-38-194,object,1890s,date
chndm_1914-38-194,object,1900s,date
chndm_1914-38-208,object,1890s,date
chndm_1914-38-208,object,1900s,date
chndm_1914-38-228-a,object,1890s,date
chndm_1914-38-228-a,object,1900s,date
chndm_1914-38-239,object,1890s,date
chndm_1914-38-239,object,1900s,date
chndm_1914-38-323,object,1890s,date
chndm_1914-38-323,object,1900s,date
chndm_1914-38-339,object,1880s,date
chndm_1914-38-352,object,1880s,date
chndm_1914-38-352,object,1890s,date
chndm_1914-38-56,object,1890s,date
chndm_1914-38-60,object,1890s,date
chndm_1914-38-90,object,1880s,date
chndm_1914-38-90,object,1890s,date
chndm_1915-16-8-a,object,1730s,date
chndm_1915-16-8-a,object,1760s,date
chndm_1916-33-205-a_b,object,1850s,date
chndm_1916-33-205-a_b,object,1900s,date
chndm_1916-33-49-a_b,object,1870s,date
chndm_1916-33-49-a_b,object,1880s,date
chndm_1917-14-4,object,1870s,date
chndm_1917-4-115,object,1860s,date
chndm_1917-4-1313,object,1870s,date
chndm_1917-4-1318,object,1850s,date
chndm_1917-4-1332-b,object,1860s,date
chndm_1917-4-1363,object,1850s,date
chndm_1917-4-1363,object,1860s,date
chndm_1917-4-15-b,object,1850s,date
chndm_1917-4-157,object,1860s,date
chndm_1917-4-158-b,object,1860s,date
chndm_1917-4-173,object,1860s,date
chndm_1917-4-178,object,1860s,date
chndm_1917-4-203,object,1850s,date
chndm_1917-4-221,object,1850s,date
chndm_1917-4-245,object,1850s,date
chndm_1917-4-284-a,object,1850s,date
chndm_1917-4-296-b,object,1850s,date
chndm_1917-4-34-b,object,1850s,date
chndm_1917-4-353-b,object,1860s,date
chndm_1917-4-363,object,1850s,date
chndm_1917-4-365-a,object,1850s,date
chndm_1917-4-366-a,object,1850s,date
chndm_1917-4-464-a,object,1860s,date
chndm_1917-4-497,object,1870s,date
chndm_1917-4-497,object,1880s,date
chndm_1917-4-516,object,1850s,date
chndm_1917-4-516,object,1870s,date
chndm_1917-4-534,object,1860s,date
chndm_1917-4-534,object,1880s,date
chndm_1917-4-537,object,1860s,date
chndm_1917-4-537,object,1880s,date
chndm_1917-4-677,object,1860s,date
chndm_1917-4-825,object,1850s,date
chndm_1917-9-1,object,1700s,date
chndm_1917-9-1,object,1800s,date
chndm_1918-52-1,object,1640s,date
chndm_1918-52-1,object,1660s,date
chndm_1919-10-70,object,1720s,date
chndm_1919-10-70,object,1730s,date
chndm_1919-30-11,object,1730s,date
chndm_1919-30-11,object,1740s,date
chndm_1920-15-28,object,1770s,date
chndm_1920-15-28,object,1820s,date
chndm_1920-3-2-a_b,object,1860s,date
chndm_1920-3-2-a_b,object,1870s,date
